TransactionID,Timestamp,StoreName,BranchName,BranchID,TotalBranches,CustomerID,Category,Product,Quantity,UnitPrice,TotalAmount,Discount,FinalAmount,LoyaltyPoints,PaymentType
TXN008772,2024-05-26 08:19:00,SmartRetail,Koramangala,4.0,5.0,1010876.0,Snacks,Lays Chips,4.0,20.0,80.0,7.29,72.71,0.0,UPI
TXN002294,2024-05-26 08:24:00,SmartRetail,Indiranagar,1.0,5.0,1038379.0,Snacks,Chocolate,5.0,40.0,200.0,3.65,196.35,1.0,Cash
TXN024029,2024-05-26 08:35:00,SmartRetail,Whitefield,2.0,5.0,1065581.0,Beverages,Bisleri Water (1L),1.0,20.0,20.0,1.56,18.44,0.0,UPI
TXN023311,2024-05-26 08:36:00,SmartRetail,Yelahanka,5.0,5.0,1065767.0,Beverages,Pepsi (2L),1.0,80.0,80.0,3.51,76.49,0.0,Card
TXN001777,2024-05-26 08:44:00,SmartRetail,Whitefield,2.0,5.0,1005401.0,Snacks,Dry Fruits (250g),5.0,220.0,1100.0,108.62,991.38,9.0,Cash
TXN021153,2024-05-26 09:16:00,SmartRetail,Koramangala,4.0,5.0,1097736.0,Personal Care,Soap (125g),5.0,40.0,200.0,20.71,179.29,1.0,Cash
TXN005790,2024-05-26 09:16:00,SmartRetail,Whitefield,2.0,5.0,1046113.0,Beverages,Real Juice (1L),4.0,110.0,440.0,34.27,405.73,4.0,Card
TXN019212,2024-05-26 09:28:00,SmartRetail,Yelahanka,5.0,5.0,1072480.0,Snacks,Chocolate,4.0,40.0,160.0,5.89,154.11,1.0,Cash
TXN000145,2024-05-26 09:45:00,SmartRetail,Koramangala,4.0,5.0,1072844.0,Beverages,Bisleri Water (1L),5.0,20.0,100.0,0.78,99.22,0.0,Wallet
TXN017959,2024-05-26 09:58:00,SmartRetail,Jayanagar,3.0,5.0,1040567.0,Snacks,Chocolate,1.0,40.0,40.0,0.94,39.06,0.0,Card
TXN013195,2024-05-26 10:24:00,SmartRetail,Yelahanka,5.0,5.0,1031697.0,Groceries,Rice (5kg),3.0,280.0,840.0,48.27,791.73,7.0,Wallet
TXN007877,2024-05-26 10:42:00,SmartRetail,Indiranagar,1.0,5.0,1000924.0,Groceries,Sugar (1kg),2.0,45.0,90.0,3.22,86.78,0.0,Card
TXN013452,2024-05-26 11:43:00,SmartRetail,Koramangala,4.0,5.0,1045812.0,Snacks,Kurkure,3.0,15.0,45.0,1.02,43.98,0.0,UPI
TXN004390,2024-05-26 12:14:00,SmartRetail,Jayanagar,3.0,5.0,1079121.0,Personal Care,Facewash (100ml),2.0,160.0,320.0,45.94,274.06,2.0,Card
TXN022090,2024-05-26 12:43:00,SmartRetail,Koramangala,4.0,5.0,1083239.0,Dairy,Curd (500g),1.0,35.0,35.0,3.3,31.7,0.0,Wallet
TXN008102,2024-05-26 12:47:00,SmartRetail,Koramangala,4.0,5.0,1079737.0,Snacks,Chocolate,5.0,40.0,200.0,8.76,191.24,1.0,Card
TXN012696,2024-05-26 12:54:00,SmartRetail,Jayanagar,3.0,5.0,1099098.0,Dairy,Curd (500g),2.0,35.0,70.0,3.02,66.98,0.0,UPI
TXN009309,2024-05-26 13:09:00,SmartRetail,Jayanagar,3.0,5.0,1078141.0,Snacks,Dry Fruits (250g),4.0,220.0,880.0,66.56,813.44,8.0,Wallet
TXN007052,2024-05-26 13:10:00,SmartRetail,Yelahanka,5.0,5.0,1085844.0,Dairy,Cheese (200g),3.0,120.0,360.0,10.18,349.82,3.0,Cash
TXN015045,2024-05-26 13:13:00,SmartRetail,Indiranagar,1.0,5.0,1084075.0,Groceries,Wheat Flour (5kg),5.0,250.0,1250.0,17.15,1232.85,12.0,Cash
TXN007456,2024-05-26 13:13:00,SmartRetail,Jayanagar,3.0,5.0,1045185.0,Groceries,Cooking Oil (1L),2.0,130.0,260.0,34.49,225.51,2.0,Card
TXN004310,2024-05-26 13:16:00,SmartRetail,Jayanagar,3.0,5.0,1057224.0,Dairy,Cheese (200g),4.0,120.0,480.0,39.98,440.02,4.0,UPI
TXN022596,2024-05-26 13:20:00,SmartRetail,Koramangala,4.0,5.0,1096963.0,Snacks,Kurkure,3.0,15.0,45.0,2.24,42.76,0.0,Wallet
TXN017086,2024-05-26 13:30:00,SmartRetail,Jayanagar,3.0,5.0,1062089.0,Beverages,Real Juice (1L),5.0,110.0,550.0,42.92,507.08,5.0,Cash
TXN011527,2024-05-26 13:37:00,SmartRetail,Yelahanka,5.0,5.0,1023284.0,Beverages,Pepsi (2L),4.0,80.0,320.0,35.41,284.59,2.0,UPI
